000000004,02-Feb-2016 09:00:08,0000000TD,0
000000004,02-Feb-2016 09:00:09,0000000TD,1
000000003,02-Feb-2016 09:46:36,0000000TD,0
000000004,02-Feb-2016 10:21:06,0000000TD,0
000000003,02-Feb-2016 11:21:33,0000000TD,1
000000001,02-Feb-2016 11:34:53,0000000TD,0
000000004,02-Feb-2016 15:39:17,0000000TD,1
000000004,02-Feb-2016 16:05:14,0000000TD,0
000000004,02-Feb-2016 16:29:44,0000000TD,1
000000004,02-Feb-2016 17:25:32,0000000TD,0
000000004,02-Feb-2016 09:00:08,0000000TD,0
000000004,02-Feb-2016 09:00:09,0000000TD,1
000000003,02-Feb-2016 09:46:36,0000000TD,0
000000004,02-Feb-2016 10:21:06,0000000TD,0
000000003,02-Feb-2016 11:21:33,0000000TD,1
000000001,02-Feb-2016 11:34:53,0000000TD,0
000000004,02-Feb-2016 15:39:17,0000000TD,1
000000004,02-Feb-2016 16:05:14,0000000TD,0
000000004,02-Feb-2016 16:29:44,0000000TD,1
000000004,02-Feb-2016 17:25:32,0000000TD,0
000000004,02-Feb-2016 09:00:08,0000000TD,0
000000004,02-Feb-2016 09:00:09,0000000TD,1
000000003,02-Feb-2016 09:46:36,0000000TD,0
000000004,02-Feb-2016 10:21:06,0000000TD,0
000000003,02-Feb-2016 11:21:33,0000000TD,1
000000001,02-Feb-2016 11:34:53,0000000TD,0
000000004,02-Feb-2016 15:39:17,0000000TD,1
000000004,02-Feb-2016 16:05:14,0000000TD,0
000000004,02-Feb-2016 16:29:44,0000000TD,1
000000004,02-Feb-2016 17:25:32,0000000TD,0
000000004,02-Feb-2016 09:00:08,0000000TD,0
000000004,02-Feb-2016 09:00:09,0000000TD,1
000000003,02-Feb-2016 09:46:36,0000000TD,0
000000004,02-Feb-2016 10:21:06,0000000TD,0
000000003,02-Feb-2016 11:21:33,0000000TD,1
000000001,02-Feb-2016 11:34:53,0000000TD,0
000000004,02-Feb-2016 15:39:17,0000000TD,1
000000004,02-Feb-2016 16:05:14,0000000TD,0
000000004,02-Feb-2016 16:29:44,0000000TD,1
000000004,02-Feb-2016 17:25:32,0000000TD,0
000000004,02-Feb-2016 09:00:08,0000000TD,0
000000004,02-Feb-2016 09:00:09,0000000TD,1
000000003,02-Feb-2016 09:46:36,0000000TD,0
000000004,02-Feb-2016 10:21:06,0000000TD,0
000000003,02-Feb-2016 11:21:33,0000000TD,1
000000001,02-Feb-2016 11:34:53,0000000TD,0
000000004,02-Feb-2016 15:39:17,0000000TD,1
000000004,02-Feb-2016 16:05:14,0000000TD,0
000000004,02-Feb-2016 16:29:44,0000000TD,1
000000004,02-Feb-2016 17:25:32,0000000TD,0
000000004,02-Feb-2016 09:00:08,0000000TD,0
000000004,02-Feb-2016 09:00:09,0000000TD,1
000000003,02-Feb-2016 09:46:36,0000000TD,0
000000004,02-Feb-2016 10:21:06,0000000TD,0
000000003,02-Feb-2016 11:21:33,0000000TD,1
000000001,02-Feb-2016 11:34:53,0000000TD,0
000000004,02-Feb-2016 15:39:17,0000000TD,1
000000004,02-Feb-2016 16:05:14,0000000TD,0
000000004,02-Feb-2016 16:29:44,0000000TD,1
000000004,02-Feb-2016 17:25:32,0000000TD,0
000000004,02-Feb-2016 09:00:08,0000000TD,0
