000000004,01-Mar-2016 08:54:53,0000000TD,0
000000003,01-Mar-2016 09:20:49,0000000TD,0
000000003,01-Mar-2016 10:38:40,0000000TD,1
000000004,01-Mar-2016 11:23:31,0000000TD,1
000000003,01-Mar-2016 11:31:43,0000000TD,0
000000004,01-Mar-2016 11:32:31,0000000TD,0
000000002,01-Mar-2016 11:40:45,0000000TD,0
000000004,01-Mar-2016 13:17:49,0000000TD,1
000000002,01-Mar-2016 13:21:57,0000000TD,1
000000002,01-Mar-2016 13:44:12,0000000TD,0
000000002,01-Mar-2016 13:44:13,0000000TD,1
000000003,01-Mar-2016 14:17:38,0000000TD,1
000000004,01-Mar-2016 14:32:51,0000000TD,0
000000004,01-Mar-2016 15:26:58,0000000TD,1
000000003,01-Mar-2016 15:51:17,0000000TD,0
000000002,01-Mar-2016 17:20:55,0000000TD,0
000000002,01-Mar-2016 17:36:13,0000000TD,1
000000004,01-Mar-2016 08:54:53,0000000TD,0
000000003,01-Mar-2016 09:20:49,0000000TD,0
000000003,01-Mar-2016 10:38:40,0000000TD,1
000000004,01-Mar-2016 11:23:31,0000000TD,1
000000003,01-Mar-2016 11:31:43,0000000TD,0
000000004,01-Mar-2016 11:32:31,0000000TD,0
000000002,01-Mar-2016 11:40:45,0000000TD,0
000000004,01-Mar-2016 13:17:49,0000000TD,1
000000002,01-Mar-2016 13:21:57,0000000TD,1
000000002,01-Mar-2016 13:44:12,0000000TD,0
000000002,01-Mar-2016 13:44:13,0000000TD,1
000000003,01-Mar-2016 14:17:38,0000000TD,1
000000004,01-Mar-2016 14:32:51,0000000TD,0
000000004,01-Mar-2016 15:26:58,0000000TD,1
000000003,01-Mar-2016 15:51:17,0000000TD,0
000000002,01-Mar-2016 17:20:55,0000000TD,0
000000002,01-Mar-2016 17:36:13,0000000TD,1
